strain	ori	ter	genomesize	cdscumskew
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4056525	8798547	-52
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3978754	8701616	-83
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3982078	8689887	-100
B_sp._WSM1253.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4573585	8572596	55
B_sp._WSM1253.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4892504	8757351	-282
B_sp._WSM1253.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3970878	8609695	-101
B_sp._WSM1253.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3970878	8677321	-160
B_sp._WSM1253.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3970878	8733569	-245
B_sp._WSM1253.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3970878	8717904	-158
B_sp._WSM1253.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3970878	8626036	-125
B_sp._WSM1253.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4300841	8165688	62
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4107223	8541989	16
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4239895	8674653	61
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3889134	8323901	8
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3849770	8284532	-33
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4239896	8674654	59
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4252302	8687048	44
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4123108	8809322	-22
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4271885	8740376	100
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4109124	8523549	15
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4435599	8838636	140
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4136322	8537242	67
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3878343	8317276	50
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4180362	8641576	55
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4006388	8459641	6
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4193300	8631184	64
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4115529	8534253	33
B_sp._WSM1253.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4118853	8522524	16
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4437742	7980180	96
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3435645	8164935	202
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3435645	8017279	-155
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3435645	8084905	-214
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3435645	8141153	-299
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3435645	8125488	-212
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3435645	8033620	-179
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3435645	7573272	-142
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3860470	7949573	139
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3993142	8082237	184
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3642381	7731485	131
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3603017	7692116	90
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3993143	8082238	182
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4005549	8094632	167
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3876355	8216906	101
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4025132	8147960	223
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3862371	7931133	138
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4188846	8246220	263
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3889569	7944826	190
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3631590	7724860	173
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3933609	8049160	178
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3759635	7867225	129
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3946547	8038768	187
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3868776	7941837	156
B_sp._WSM1417_Bra1417.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3872100	7930108	139
B_sp._WSM471.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3449740	8081923	329
B_sp._WSM471.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3449740	7934267	-28
B_sp._WSM471.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3449740	8001893	-87
B_sp._WSM471.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3449740	8058141	-172
B_sp._WSM471.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3449740	8042476	-85
B_sp._WSM471.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3449740	7950608	-52
B_sp._WSM471.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3449740	7490260	-15
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4244887	7866561	32
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4377559	7999225	77
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4026798	7648473	24
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3987434	7609104	-17
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4377560	7999226	75
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4389966	8011620	60
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4260772	8133894	-6
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4409549	8064948	116
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4246788	7848121	31
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4573263	8163208	156
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4273986	7861814	83
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4016007	7641848	66
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4318026	7966148	71
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4144052	7784213	22
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4330964	7955756	80
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4253193	7858825	49
B_sp._WSM471.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4256517	7847096	32
CW1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3639162	8224352	-20
CW1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4587349	8409107	-286
CW1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4439693	8261451	71
CW1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4507319	8329077	130
CW1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4563567	8385325	215
CW1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4547902	8369660	128
CW1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4456034	8277792	95
CW1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3995686	7817444	58
CW1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4096391	8193745	75
CW1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4096383	8326409	30
CW1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4096392	7975657	83
CW1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4096387	7936288	124
CW1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4096383	8326410	32
CW1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4096371	8338804	47
CW1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4347839	8461078	113
CW1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4130116	8392132	-9
CW1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4076050	8175305	76
CW1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4064662	8490392	-49
CW1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4062545	8188998	24
CW1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4100558	7969032	41
CW1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4122839	8293332	36
CW1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4114878	8111397	85
CW1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4099509	8282940	27
CW1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4080349	8186009	58
CW1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4065296	8174280	75
inoc15-2.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3367100	8219090	-14
inoc15-2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4696399	8403845	-235
inoc15-2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4548743	8256189	122
inoc15-2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4616369	8323815	181
inoc15-2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4672617	8380063	266
inoc15-2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4656952	8364398	179
inoc15-2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4565084	8272530	146
inoc15-2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4104736	7812182	109
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3829437	8188483	69
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3829429	8321147	24
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3829438	7970395	77
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3829433	7931026	118
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3829429	8321148	26
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3829417	8333542	41
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4080885	8455816	107
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	3863162	8386870	-15
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3809096	8170043	70
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3797708	8485130	-55
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3795591	8183736	18
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3833604	7963770	35
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3855885	8288070	30
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3847924	8106135	79
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3832555	8277678	21
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3813395	8180747	52
inoc15-2.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3798342	8169018	69
inoc2.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	5346684	9657809	-74
inoc2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4332505	9842564	-183
inoc2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4332505	9694908	-2
inoc2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4332505	9762534	-61
inoc2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4332505	9818782	-146
inoc2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4332505	9803117	-59
inoc2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4332505	9711249	-26
inoc2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4332505	9250901	11
inoc2.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4788535	9627202	-81
inoc2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4921207	9759866	-36
inoc2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4570446	9409114	-89
inoc2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4531082	9369745	-130
inoc2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4921208	9759867	-38
inoc2.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4933614	9772261	-53
inoc2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4804420	9894535	-119
inoc2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4953197	9825589	3
inoc2.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4790436	9608762	-82
inoc2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	5116911	9923849	43
inoc2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4817634	9622455	-30
inoc2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4559655	9402489	-47
inoc2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4861674	9726789	-42
inoc2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4687700	9544854	-91
inoc2.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4874612	9716397	-33
inoc2.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4796841	9619466	-64
inoc2.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4800165	9607737	-81
inoc4-2.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4395718	7835713	-13
inoc4-2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3393853	8020468	-267
inoc4-2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3393853	7872812	-86
inoc4-2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3393853	7940438	-145
inoc4-2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3393853	7996686	-230
inoc4-2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3393853	7981021	-143
inoc4-2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3393853	7889153	-110
inoc4-2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3393853	7428805	-73
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3972447	7805106	-16
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4105119	7937770	29
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3754358	7587018	-24
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3714994	7547649	-65
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4105120	7937771	27
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4117526	7950165	12
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3988332	8072439	-54
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4137109	8003493	68
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3974348	7786666	-17
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4300823	8101753	108
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4001546	7800359	35
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3743567	7580393	18
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4045586	7904693	23
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3871612	7722758	-26
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4058524	7894301	32
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3980753	7797370	1
inoc4-2.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3984077	7785641	-16
LMTR_13.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4000868	8323370	-384
LMTR_13.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3079242	8175714	-203
LMTR_13.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3079242	8243340	-262
LMTR_13.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3079242	8299588	-347
LMTR_13.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3079242	8283923	-260
LMTR_13.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3079242	8192055	-227
LMTR_13.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3079242	7731707	-190
USDA110.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4155590	9156097	98
USDA110.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5399708	9340852	148
USDA110.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	5252052	9193196	-33
USDA110.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	5319678	9260822	26
USDA110.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	5375926	9317070	111
USDA110.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	5360261	9301405	24
USDA110.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	5268393	9209537	-9
USDA110.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4808045	8749189	-47
USDA110.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4819409	9125490	21
USDA110.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4819401	9258154	-24
USDA110.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4819410	8907402	29
USDA110.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4819405	8868033	70
USDA110.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4819401	9258155	-22
USDA110.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4819389	9270549	-7
USDA110.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	5070857	9392823	59
USDA110.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4853134	9323877	-63
USDA110.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4799068	9107050	22
USDA110.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4787680	9422137	-103
USDA110.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4785563	9120743	-30
USDA110.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4823576	8900777	-13
USDA110.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4845857	9225077	-18
USDA110.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4837896	9043142	31
USDA110.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4822527	9214685	-27
USDA110.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4803367	9117754	4
USDA110.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4788314	9106025	21
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	5171426	9780220	5
05LoS16R3_25.noSI.rot__with__chromosome	0	3773836	7471060	152
11LoS11_3.noSI.rot__with__chromosome	0	3762903	8353898	-8
11LoS18_3.noSI.rot__with__chromosome	0	3671270	7452235	24
11LoS34_10.noSI.rot__with__chromosome	0	3731220	7339714	-41
11LoS34_2.noSI.rot__with__chromosome	0	3673359	7387815	-37
11LoS34_4.noSI.rot__with__chromosome	0	3760135	7395142	11
11LoS34_6.noSI.rot__with__chromosome	0	3728908	7337399	-43
11LoS7_1.noSI.rot__with__chromosome	0	3807553	7737859	-146
13LoS100_1.noSI.rot__with__chromosome	0	3806595	7577236	-73
13LoS28_1.noSI.rot__with__chromosome	0	3514062	7100456	16
13LoS70_1.noSI.rot__with__chromosome	0	3490383	7339473	-74
13LoS70_2.noSI.rot__with__chromosome	0	3540516	7289721	-1
13LoS78_1.noSI.rot__with__chromosome	0	4156137	8597173	207
B_diazoefficiensUSDA_122.noSI.rot__with__chromosome	0	4388287	8448910	-166
B_elkanii_USDA_76_Brael.noSI.rot__with__chromosome	0	3443186	8342633	-447
B_erythrophleiGAS138.noSI.rot__with__chromosome	0	4826221	9092135	47
B_erythrophleiGAS242.noSI.rot__with__chromosome	0	4593281	9184750	-235
B_erythrophleiGAS401.noSI.rot__with__chromosome	0	3594597	7525216	-153
B_erythrophleiMT12.noSI.rot__with__chromosome	0	4475037	8910900	-212
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__chromosome	0	3942293	8941500	-146
B_japonicumJ5.noSI.rot__with__chromosome	0	4772509	9135938	51
B_lablabiGAS165.noSI.rot__with__chromosome	0	3067002	6079021	-153
B_lablabiGAS499.noSI.rot__with__chromosome	0	3890883	7910098	-90
B_lablabiGAS522.noSI.rot__with__chromosome	0	4162405	8088126	-65
B_lablabiMT34.noSI.rot__with__chromosome	0	4116816	8150967	-103
B_oligotrophicum_S58.noSI.rot__with__chromosome	0	4056081	8264164	-41
B_ottawaenseGAS524.noSI.rot__with__chromosome	0	4303003	8339214	-154
B_sp._AT1.noSI.rot__with__chromosome	0	4295206	7515444	251
B_sp._BF49.noSI.rot__with__chromosome	0	3804272	7547692	198
B_sp._BTAi1.noSI.rot__with__chromosome	0	4110602	8264686	62
B_sp._CCGE-LA001.noSI.rot__with__chromosome	0	3881452	7043530	123
B_sp._DOA1.noSI.rot__with__chromosome	0	3357481	7234241	69
B_sp._DOA9.noSI.rot__with__chromosome	0	3539861	7114463	1
B_sp._ORS278.noSI.rot__with__chromosome	0	3658104	7456586	85
B_sp._ORS285.noSI.rot__with__chromosome	0	3969315	7797097	-19
B_sp._S23321.noSI.rot__with__chromosome	0	3568172	7231840	-16
B_sp._SK17CBNU.noSI.rot__with__chromosome	0	4042133	8003089	141
B_sp._WSM1253.noSI.rot__with__chromosome	0	3968573	7835726	-13
B_sp._WSM1417_Bra1417.noSI.rot__with__chromosome	0	3464979	7243310	-67
B_sp._WSM471.noSI.rot__with__chromosome	0	3477293	7160298	60
CW1.noSI.rot__with__chromosome	0	3662158	7487482	-17
inoc15-2.noSI.rot__with__chromosome	0	3771208	7482220	35
inoc2.noSI.rot__with__chromosome	0	4417369	8920939	86
inoc4-2.noSI.rot__with__chromosome	0	3422732	7098843	2
LMTR_13.noSI.rot__with__chromosome	0	3103378	7401745	-115
USDA110.noSI.rot__with__chromosome	0	4451243	8419227	-121
B_japonicum_SEMIA_5079.noSI.rot__with__chromosome	0	3940025	8881708	140
B_diazoefficiens_NK6.noSI.rot__with__chromosome	0	3867584	9043350	-130
186.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	5278768	10165172	-124
186.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5835620	10349927	-126
186.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4913994	10202271	55
186.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4913994	10269897	-4
186.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4913994	10326145	-89
186.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4913994	10310480	-2
186.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4913994	10218612	31
186.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4913994	9758264	68
186.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4724752	10134565	-129
186.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4857424	10267229	-84
186.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4506663	9916477	-137
186.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4467299	9877108	-178
186.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4857425	10267230	-86
186.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4869831	10279624	-101
186.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4740637	10401898	-167
186.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4889414	10332952	-45
186.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4726653	10116125	-130
